date,code,name,market,total_shares,foreign_shares,foreign_ratio
2025-09-11,3211,順達,TPEX,153781021,30305086,0.0
2025-09-11,3213,茂訊,TPEX,58685547,2721372,0.0
2025-09-11,3217,優群,TPEX,90104203,13899616,0.0
2025-09-11,3218,大學光,TPEX,84724899,6614908,0.0
2025-09-11,3219,倚強科,TPEX,71103880,2836241,0.0
2025-09-11,3221,台嘉碩,TPEX,103878310,3602128,0.0
2025-09-11,3224,三顧,TPEX,68172648,449147,0.0
2025-09-11,3226,龍鋒,TPEX,64430573,27956,0.0
2025-09-11,3227,原相,TPEX,149948823,30445455,0.0
2025-09-11,3228,金麗科,TPEX,71511495,4566100,0.0
2025-09-11,3230,錦明,TPEX,86010900,2182862,0.0
2025-09-11,3232,昱捷,TPEX,46567865,3649616,0.0
2025-09-11,3234,光環,TPEX,111474692,2170726,0.0
2025-09-11,3236,千如,TPEX,105000613,11136671,0.0
2025-09-11,3252,海灣,TPEX,50195754,1121246,0.0
2025-09-11,3259,鑫創,TPEX,72965934,7989689,0.0
2025-09-11,3260,威剛,TPEX,325785648,93054349,0.0
2025-09-11,3264,欣銓,TPEX,490170076,185012322,0.0
2025-09-11,3265,台星科,TPEX,136261659,4579878,0.0
2025-09-11,3268,海德威,TPEX,34720796,270928,0.0
2025-09-11,3272,東碩,TPEX,61176789,318040,0.0
2025-09-11,3276,宇環,TPEX,69712666,483122,0.0
2025-09-11,3284,太普高,TPEX,108482473,365410,0.0
2025-09-11,3285,微端,TPEX,42735324,5499931,0.0
2025-09-11,3287,廣寰科,TPEX,43970483,803000,0.0
2025-09-11,3288,點晶,TPEX,16000000,22962,0.0
2025-09-11,3289,宜特,TPEX,74259421,4701398,0.0
2025-09-11,3290,東浦,TPEX,90215034,4919195,0.0
2025-09-11,3293,鈊象,TPEX,281801560,70162121,0.0
2025-09-11,3294,英濟,TPEX,132015919,10971104,0.0
2025-09-11,3297,杭特,TPEX,36049445,1088362,0.0
2025-09-11,3303,岱稜,TPEX,94090607,4522910,0.0
2025-09-11,3306,鼎天,TPEX,50607702,1076368,0.0
2025-09-11,3310,佳穎,TPEX,71479154,70000,0.0
2025-09-11,3313,斐成,TPEX,205060776,3314223,0.0
2025-09-11,3317,尼克森,TPEX,90000000,4678227,0.0
2025-09-11,3322,建舜電,TPEX,121582157,2987537,0.0
2025-09-11,3323,加百裕,TPEX,93952394,3434990,0.0
2025-09-11,3324,雙鴻,TPEX,91774449,25146051,0.0
2025-09-11,3325,旭品,TPEX,90168610,1426359,0.0
2025-09-11,3332,幸康,TPEX,48104246,1080610,0.0
2025-09-11,3339,泰谷,TPEX,66568300,976708,0.0
2025-09-11,3349,寶德,TPEX,46071648,98208,0.0
2025-09-11,3354,律勝,TPEX,70112426,408292,0.0
2025-09-11,3357,臺慶科,TPEX,102034881,15202293,0.0
2025-09-11,3360,尚立,TPEX,76402244,1069574,0.0
2025-09-11,3362,先進光,TPEX,142449075,7336010,0.0
2025-09-11,3363,上詮,TPEX,103640567,13929516,0.0
2025-09-11,3372,典範,TPEX,175324000,1222571,0.0
2025-09-11,3373,熱映,TPEX,47618782,874144,0.0
2025-09-11,3374,精材,TPEX,271364316,24065049,0.0
2025-09-11,3379,彬台,TPEX,38041748,0,0.0
2025-09-11,3388,崇越電,TPEX,74062358,5057956,0.0
2025-09-11,3390,旭軟,TPEX,78958259,527927,0.0
2025-09-11,3402,漢科,TPEX,73047692,4133916,0.0
2025-09-11,3426,台興,TPEX,26400000,108721,0.0
2025-09-11,3430,奇鈦科,TPEX,33716085,1712738,0.0
2025-09-11,3434,哲固,TPEX,35380792,1424519,0.0
2025-09-11,3438,類比科,TPEX,47165815,1026827,0.0
2025-09-11,3441,聯一光,TPEX,40039920,558009,0.0
2025-09-11,3444,利機,TPEX,44996877,5236317,0.0
2025-09-11,3455,由田,TPEX,59850750,3766142,0.0
2025-09-11,3465,進泰電子,TPEX,35329862,1647344,0.0
2025-09-11,3466,德晉,TPEX,61492073,7245060,0.0
2025-09-11,3467,台灣精材,TPEX,31106569,321992,0.0
2025-09-11,3479,安勤,TPEX,72630164,6719415,0.0
2025-09-11,3483,力致,TPEX,99049257,7038273,0.0
2025-09-11,3484,崧騰,TPEX,78828189,5807211,0.0
2025-09-11,3489,森寶,TPEX,90452155,449000,0.0
